run:
Avg[n= 50	m= 2	p= 0.05	p*= 0.005	URLIG: 46.65	Gnp*: 44.39	URLIG/Gnp*: 1.05	Gnp: 5.8	URLIG/Gnp: 8.04]
Avg[n= 50	m= 4	p= 0.25	p*= 0.157	URLIG: 16.48	Gnp*: 1.01	URLIG/Gnp*: 16.32	Gnp: 1.0	URLIG/Gnp: 16.48]
Avg[n= 50	m= 4	p= 0.3	p*= 0.208	URLIG: 12.66	Gnp*: 1.0	URLIG/Gnp*: 12.66	Gnp: 1.0	URLIG/Gnp: 12.66]
Avg[n= 50	m= 4	p= 0.35	p*= 0.262	URLIG: 10.08	Gnp*: 1.0	URLIG/Gnp*: 10.08	Gnp: 1.0	URLIG/Gnp: 10.08]
Avg[n= 50	m= 4	p= 0.4	p*= 0.317	URLIG: 7.41	Gnp*: 1.0	URLIG/Gnp*: 7.41	Gnp: 1.0	URLIG/Gnp: 7.41]
Avg[n= 50	m= 4	p= 0.45	p*= 0.373	URLIG: 5.67	Gnp*: 1.0	URLIG/Gnp*: 5.67	Gnp: 1.0	URLIG/Gnp: 5.67]
Avg[n= 50	m= 4	p= 0.5	p*= 0.429	URLIG: 3.89	Gnp*: 1.0	URLIG/Gnp*: 3.89	Gnp: 1.0	URLIG/Gnp: 3.89]
Avg[n= 50	m= 4	p= 0.55	p*= 0.486	URLIG: 3.09	Gnp*: 1.0	URLIG/Gnp*: 3.09	Gnp: 1.0	URLIG/Gnp: 3.09]
Avg[n= 50	m= 4	p= 0.6	p*= 0.543	URLIG: 2.32	Gnp*: 1.0	URLIG/Gnp*: 2.32	Gnp: 1.0	URLIG/Gnp: 2.32]
Avg[n= 50	m= 4	p= 0.65	p*= 0.6	URLIG: 1.72	Gnp*: 1.0	URLIG/Gnp*: 1.72	Gnp: 1.0	URLIG/Gnp: 1.72]
Avg[n= 50	m= 4	p= 0.7	p*= 0.657	URLIG: 1.39	Gnp*: 1.0	URLIG/Gnp*: 1.39	Gnp: 1.0	URLIG/Gnp: 1.39]
Avg[n= 50	m= 4	p= 0.75	p*= 0.714	URLIG: 1.17	Gnp*: 1.0	URLIG/Gnp*: 1.17	Gnp: 1.0	URLIG/Gnp: 1.17]
Avg[n= 50	m= 4	p= 0.8	p*= 0.771	URLIG: 1.08	Gnp*: 1.0	URLIG/Gnp*: 1.08	Gnp: 1.0	URLIG/Gnp: 1.08]
Avg[n= 50	m= 4	p= 0.85	p*= 0.829	URLIG: 1.03	Gnp*: 1.0	URLIG/Gnp*: 1.03	Gnp: 1.0	URLIG/Gnp: 1.03]
Avg[n= 50	m= 4	p= 0.9	p*= 0.886	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 4	p= 0.95	p*= 0.943	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 5	p= 0.05	p*= 0.011	URLIG: 42.37	Gnp*: 35.9	URLIG/Gnp*: 1.18	Gnp: 5.72	URLIG/Gnp: 7.41]
Avg[n= 50	m= 5	p= 0.1	p*= 0.039	URLIG: 31.74	Gnp*: 9.83	URLIG/Gnp*: 3.23	Gnp: 1.31	URLIG/Gnp: 24.23]
Avg[n= 50	m= 5	p= 0.15	p*= 0.077	URLIG: 23.13	Gnp*: 2.03	URLIG/Gnp*: 11.39	Gnp: 1.05	URLIG/Gnp: 22.03]
Avg[n= 50	m= 5	p= 0.2	p*= 0.123	URLIG: 17.12	Gnp*: 1.07	URLIG/Gnp*: 16.0	Gnp: 1.0	URLIG/Gnp: 17.12]
Avg[n= 50	m= 5	p= 0.25	p*= 0.173	URLIG: 12.69	Gnp*: 1.0	URLIG/Gnp*: 12.69	Gnp: 1.0	URLIG/Gnp: 12.69]
Avg[n= 50	m= 5	p= 0.3	p*= 0.225	URLIG: 9.36	Gnp*: 1.0	URLIG/Gnp*: 9.36	Gnp: 1.0	URLIG/Gnp: 9.36]
Avg[n= 50	m= 5	p= 0.35	p*= 0.279	URLIG: 6.63	Gnp*: 1.0	URLIG/Gnp*: 6.63	Gnp: 1.0	URLIG/Gnp: 6.63]
Avg[n= 50	m= 5	p= 0.4	p*= 0.334	URLIG: 4.72	Gnp*: 1.0	URLIG/Gnp*: 4.72	Gnp: 1.0	URLIG/Gnp: 4.72]
Avg[n= 50	m= 5	p= 0.45	p*= 0.389	URLIG: 3.54	Gnp*: 1.0	URLIG/Gnp*: 3.54	Gnp: 1.0	URLIG/Gnp: 3.54]
Avg[n= 50	m= 5	p= 0.5	p*= 0.445	URLIG: 2.53	Gnp*: 1.0	URLIG/Gnp*: 2.53	Gnp: 1.0	URLIG/Gnp: 2.53]
Avg[n= 50	m= 5	p= 0.55	p*= 0.5	URLIG: 1.97	Gnp*: 1.0	URLIG/Gnp*: 1.97	Gnp: 1.0	URLIG/Gnp: 1.97]
Avg[n= 50	m= 5	p= 0.6	p*= 0.556	URLIG: 1.5	Gnp*: 1.0	URLIG/Gnp*: 1.5	Gnp: 1.0	URLIG/Gnp: 1.5]
Avg[n= 50	m= 5	p= 0.65	p*= 0.611	URLIG: 1.32	Gnp*: 1.0	URLIG/Gnp*: 1.32	Gnp: 1.0	URLIG/Gnp: 1.32]
Avg[n= 50	m= 5	p= 0.7	p*= 0.667	URLIG: 1.11	Gnp*: 1.0	URLIG/Gnp*: 1.11	Gnp: 1.0	URLIG/Gnp: 1.11]
Avg[n= 50	m= 5	p= 0.75	p*= 0.722	URLIG: 1.07	Gnp*: 1.0	URLIG/Gnp*: 1.07	Gnp: 1.0	URLIG/Gnp: 1.07]
Avg[n= 50	m= 5	p= 0.8	p*= 0.778	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 5	p= 0.85	p*= 0.833	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 5	p= 0.9	p*= 0.889	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 5	p= 0.95	p*= 0.944	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 6	p= 0.05	p*= 0.013	URLIG: 41.35	Gnp*: 34.6	URLIG/Gnp*: 1.2	Gnp: 5.98	URLIG/Gnp: 6.91]
Avg[n= 50	m= 6	p= 0.1	p*= 0.044	URLIG: 28.62	Gnp*: 7.08	URLIG/Gnp*: 4.04	Gnp: 1.37	URLIG/Gnp: 20.89]
Avg[n= 50	m= 6	p= 0.15	p*= 0.086	URLIG: 19.55	Gnp*: 1.53	URLIG/Gnp*: 12.78	Gnp: 1.04	URLIG/Gnp: 18.8]
Avg[n= 50	m= 6	p= 0.2	p*= 0.134	URLIG: 14.61	Gnp*: 1.03	URLIG/Gnp*: 14.18	Gnp: 1.0	URLIG/Gnp: 14.61]
Avg[n= 50	m= 6	p= 0.25	p*= 0.185	URLIG: 10.49	Gnp*: 1.0	URLIG/Gnp*: 10.49	Gnp: 1.0	URLIG/Gnp: 10.49]
Avg[n= 50	m= 6	p= 0.3	p*= 0.238	URLIG: 6.62	Gnp*: 1.0	URLIG/Gnp*: 6.62	Gnp: 1.0	URLIG/Gnp: 6.62]
Avg[n= 50	m= 6	p= 0.35	p*= 0.291	URLIG: 5.0	Gnp*: 1.0	URLIG/Gnp*: 5.0	Gnp: 1.0	URLIG/Gnp: 5.0]
Avg[n= 50	m= 6	p= 0.4	p*= 0.346	URLIG: 3.48	Gnp*: 1.0	URLIG/Gnp*: 3.48	Gnp: 1.0	URLIG/Gnp: 3.48]
Avg[n= 50	m= 6	p= 0.45	p*= 0.4	URLIG: 2.32	Gnp*: 1.0	URLIG/Gnp*: 2.32	Gnp: 1.0	URLIG/Gnp: 2.32]
Avg[n= 50	m= 6	p= 0.5	p*= 0.455	URLIG: 1.76	Gnp*: 1.0	URLIG/Gnp*: 1.76	Gnp: 1.0	URLIG/Gnp: 1.76]
Avg[n= 50	m= 6	p= 0.55	p*= 0.509	URLIG: 1.38	Gnp*: 1.0	URLIG/Gnp*: 1.38	Gnp: 1.0	URLIG/Gnp: 1.38]
Avg[n= 50	m= 6	p= 0.6	p*= 0.564	URLIG: 1.18	Gnp*: 1.0	URLIG/Gnp*: 1.18	Gnp: 1.0	URLIG/Gnp: 1.18]
Avg[n= 50	m= 6	p= 0.65	p*= 0.618	URLIG: 1.09	Gnp*: 1.0	URLIG/Gnp*: 1.09	Gnp: 1.0	URLIG/Gnp: 1.09]
Avg[n= 50	m= 6	p= 0.7	p*= 0.673	URLIG: 1.04	Gnp*: 1.0	URLIG/Gnp*: 1.04	Gnp: 1.0	URLIG/Gnp: 1.04]
Avg[n= 50	m= 6	p= 0.75	p*= 0.727	URLIG: 1.01	Gnp*: 1.0	URLIG/Gnp*: 1.01	Gnp: 1.0	URLIG/Gnp: 1.01]
Avg[n= 50	m= 6	p= 0.8	p*= 0.782	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 6	p= 0.85	p*= 0.836	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 6	p= 0.9	p*= 0.891	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 6	p= 0.95	p*= 0.945	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.05	p*= 0.014	URLIG: 39.73	Gnp*: 32.1	URLIG/Gnp*: 1.24	Gnp: 5.7	URLIG/Gnp: 6.97]
Avg[n= 50	m= 7	p= 0.1	p*= 0.048	URLIG: 26.27	Gnp*: 6.04	URLIG/Gnp*: 4.35	Gnp: 1.33	URLIG/Gnp: 19.75]
Avg[n= 50	m= 7	p= 0.15	p*= 0.093	URLIG: 17.08	Gnp*: 1.37	URLIG/Gnp*: 12.47	Gnp: 1.01	URLIG/Gnp: 16.91]
Avg[n= 50	m= 7	p= 0.2	p*= 0.142	URLIG: 11.05	Gnp*: 1.03	URLIG/Gnp*: 10.73	Gnp: 1.0	URLIG/Gnp: 11.05]
Avg[n= 50	m= 7	p= 0.25	p*= 0.194	URLIG: 7.81	Gnp*: 1.0	URLIG/Gnp*: 7.81	Gnp: 1.0	URLIG/Gnp: 7.81]
Avg[n= 50	m= 7	p= 0.3	p*= 0.247	URLIG: 5.18	Gnp*: 1.0	URLIG/Gnp*: 5.18	Gnp: 1.0	URLIG/Gnp: 5.18]
Avg[n= 50	m= 7	p= 0.35	p*= 0.3	URLIG: 3.69	Gnp*: 1.0	URLIG/Gnp*: 3.69	Gnp: 1.0	URLIG/Gnp: 3.69]
Avg[n= 50	m= 7	p= 0.4	p*= 0.354	URLIG: 2.35	Gnp*: 1.0	URLIG/Gnp*: 2.35	Gnp: 1.0	URLIG/Gnp: 2.35]
Avg[n= 50	m= 7	p= 0.45	p*= 0.408	URLIG: 1.67	Gnp*: 1.0	URLIG/Gnp*: 1.67	Gnp: 1.0	URLIG/Gnp: 1.67]
Avg[n= 50	m= 7	p= 0.5	p*= 0.462	URLIG: 1.44	Gnp*: 1.0	URLIG/Gnp*: 1.44	Gnp: 1.0	URLIG/Gnp: 1.44]
Avg[n= 50	m= 7	p= 0.55	p*= 0.515	URLIG: 1.19	Gnp*: 1.0	URLIG/Gnp*: 1.19	Gnp: 1.0	URLIG/Gnp: 1.19]
Avg[n= 50	m= 7	p= 0.6	p*= 0.569	URLIG: 1.04	Gnp*: 1.0	URLIG/Gnp*: 1.04	Gnp: 1.0	URLIG/Gnp: 1.04]
Avg[n= 50	m= 7	p= 0.65	p*= 0.623	URLIG: 1.03	Gnp*: 1.0	URLIG/Gnp*: 1.03	Gnp: 1.0	URLIG/Gnp: 1.03]
Avg[n= 50	m= 7	p= 0.7	p*= 0.677	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.75	p*= 0.731	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.8	p*= 0.785	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.85	p*= 0.838	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.9	p*= 0.892	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 7	p= 0.95	p*= 0.946	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.05	p*= 0.016	URLIG: 38.56	Gnp*: 31.33	URLIG/Gnp*: 1.23	Gnp: 5.58	URLIG/Gnp: 6.91]
Avg[n= 50	m= 8	p= 0.1	p*= 0.052	URLIG: 23.69	Gnp*: 5.2	URLIG/Gnp*: 4.56	Gnp: 1.18	URLIG/Gnp: 20.08]
Avg[n= 50	m= 8	p= 0.15	p*= 0.098	URLIG: 14.59	Gnp*: 1.3	URLIG/Gnp*: 11.22	Gnp: 1.02	URLIG/Gnp: 14.3]
Avg[n= 50	m= 8	p= 0.2	p*= 0.149	URLIG: 9.22	Gnp*: 1.02	URLIG/Gnp*: 9.04	Gnp: 1.0	URLIG/Gnp: 9.22]
Avg[n= 50	m= 8	p= 0.25	p*= 0.201	URLIG: 5.8	Gnp*: 1.0	URLIG/Gnp*: 5.8	Gnp: 1.0	URLIG/Gnp: 5.8]
Avg[n= 50	m= 8	p= 0.3	p*= 0.254	URLIG: 3.91	Gnp*: 1.0	URLIG/Gnp*: 3.91	Gnp: 1.0	URLIG/Gnp: 3.91]
Avg[n= 50	m= 8	p= 0.35	p*= 0.307	URLIG: 2.56	Gnp*: 1.0	URLIG/Gnp*: 2.56	Gnp: 1.0	URLIG/Gnp: 2.56]
Avg[n= 50	m= 8	p= 0.4	p*= 0.36	URLIG: 1.96	Gnp*: 1.0	URLIG/Gnp*: 1.96	Gnp: 1.0	URLIG/Gnp: 1.96]
Avg[n= 50	m= 8	p= 0.45	p*= 0.413	URLIG: 1.45	Gnp*: 1.0	URLIG/Gnp*: 1.45	Gnp: 1.0	URLIG/Gnp: 1.45]
Avg[n= 50	m= 8	p= 0.5	p*= 0.467	URLIG: 1.17	Gnp*: 1.0	URLIG/Gnp*: 1.17	Gnp: 1.0	URLIG/Gnp: 1.17]
Avg[n= 50	m= 8	p= 0.55	p*= 0.52	URLIG: 1.04	Gnp*: 1.0	URLIG/Gnp*: 1.04	Gnp: 1.0	URLIG/Gnp: 1.04]
Avg[n= 50	m= 8	p= 0.6	p*= 0.573	URLIG: 1.06	Gnp*: 1.0	URLIG/Gnp*: 1.06	Gnp: 1.0	URLIG/Gnp: 1.06]
Avg[n= 50	m= 8	p= 0.65	p*= 0.627	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.7	p*= 0.68	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.75	p*= 0.733	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.8	p*= 0.787	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.85	p*= 0.84	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.9	p*= 0.893	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 8	p= 0.95	p*= 0.947	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 9	p= 0.05	p*= 0.017	URLIG: 37.27	Gnp*: 29.38	URLIG/Gnp*: 1.27	Gnp: 5.46	URLIG/Gnp: 6.83]
Avg[n= 50	m= 9	p= 0.1	p*= 0.056	URLIG: 21.22	Gnp*: 4.76	URLIG/Gnp*: 4.46	Gnp: 1.32	URLIG/Gnp: 16.08]
Avg[n= 50	m= 9	p= 0.15	p*= 0.103	URLIG: 12.87	Gnp*: 1.24	URLIG/Gnp*: 10.38	Gnp: 1.0	URLIG/Gnp: 12.87]
Avg[n= 50	m= 9	p= 0.2	p*= 0.154	URLIG: 7.48	Gnp*: 1.03	URLIG/Gnp*: 7.26	Gnp: 1.0	URLIG/Gnp: 7.48]
Avg[n= 50	m= 9	p= 0.25	p*= 0.206	URLIG: 5.03	Gnp*: 1.0	URLIG/Gnp*: 5.03	Gnp: 1.0	URLIG/Gnp: 5.03]
Avg[n= 50	m= 9	p= 0.3	p*= 0.259	URLIG: 3.18	Gnp*: 1.0	URLIG/Gnp*: 3.18	Gnp: 1.0	URLIG/Gnp: 3.18]
Avg[n= 50	m= 9	p= 0.35	p*= 0.312	URLIG: 2.19	Gnp*: 1.0	URLIG/Gnp*: 2.19	Gnp: 1.0	URLIG/Gnp: 2.19]
Avg[n= 50	m= 9	p= 0.4	p*= 0.365	URLIG: 1.43	Gnp*: 1.0	URLIG/Gnp*: 1.43	Gnp: 1.0	URLIG/Gnp: 1.43]
Avg[n= 50	m= 9	p= 0.45	p*= 0.418	URLIG: 1.23	Gnp*: 1.0	URLIG/Gnp*: 1.23	Gnp: 1.0	URLIG/Gnp: 1.23]
Avg[n= 50	m= 9	p= 0.5	p*= 0.471	URLIG: 1.07	Gnp*: 1.0	URLIG/Gnp*: 1.07	Gnp: 1.0	URLIG/Gnp: 1.07]
Avg[n= 50	m= 9	p= 0.55	p*= 0.524	URLIG: 1.04	Gnp*: 1.0	URLIG/Gnp*: 1.04	Gnp: 1.0	URLIG/Gnp: 1.04]
Avg[n= 50	m= 9	p= 0.6	p*= 0.576	URLIG: 1.01	Gnp*: 1.0	URLIG/Gnp*: 1.01	Gnp: 1.0	URLIG/Gnp: 1.01]
Avg[n= 50	m= 9	p= 0.65	p*= 0.629	URLIG: 1.01	Gnp*: 1.0	URLIG/Gnp*: 1.01	Gnp: 1.0	URLIG/Gnp: 1.01]
Avg[n= 50	m= 9	p= 0.7	p*= 0.682	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 9	p= 0.75	p*= 0.735	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 9	p= 0.8	p*= 0.788	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 9	p= 0.85	p*= 0.841	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
Avg[n= 50	m= 9	p= 0.9	p*= 0.894	URLIG: 1.0	Gnp*: 1.0	URLIG/Gnp*: 1.0	Gnp: 1.0	URLIG/Gnp: 1.0]
